"","x"
"1596",160
"1597",160
"1598",134
"1599",175
"1600",170
"1601",175
"1602",175
"1603",175
"1604",165
"1605",134
"1606",330
"1607",150
"1608",150
"1609",175
"1610",175
"1611",175
"1612",175
"1613",170
"1614",165
"1615",165
"1616",210
"1617",165
"1618",250
"1619",175
"1620",250
"1621",110
"1622",150
"1623",110
"1624",170
"1625",110
"1626",150
"1627",70
"1628",200
"1629",170
"1630",150
"1631",110
"1632",175
"1633",190
"1634",210
"1635",70
"1636",210
"1637",175
"1638",150
"1639",210
"1640",220
"1641",170
"1642",175
"1643",175
"1644",175
"1645",175
"1646",210
"1647",175
"1648",90
"1649",165
"1650",170
"1651",175
"1652",170
"1653",165
"1654",175
"1655",150
"1656",380
"1657",175
"1658",110
"1659",175
"1660",175
"1661",150
"1662",175
"1663",170
"1664",134
"1665",175
"1666",110
"1667",200
"1668",90
"1669",175
"1670",210
"1671",380
"1672",150
"1673",175
"1674",165
"1675",150
"1676",170
"1677",175
"1678",270
"1679",150
"1680",134
"1681",170
"1682",270
"1683",125
"1684",175
"1685",90
"1686",175
"1687",150
"1688",175
"1689",150
"1690",175
"1691",134
"1692",170
"1693",165
"1694",175
"1695",175
"1696",175
"1697",160
"1698",110
"1699",175
"1700",165
"1701",134
"1702",175
"1703",175
"1704",150
"1705",200
"1706",175
"1707",210
"1708",134
"1709",150
"1710",330
"1711",150
"1712",200
"1713",330
"1714",150
"1715",175
"1716",175
"1717",134
"1718",175
"1719",150
"1720",150
"1721",110
"1722",160
"1723",175
"1724",175
"1725",175
"1726",175
"1727",170
"1728",330
"1729",190
"1730",175
"1731",165
"1732",150
"1733",150
"1734",175
"1735",170
"1736",150
"1737",134
"1738",150
"1739",165
"1740",330
"1741",175
"1742",175
"1743",175
"1744",110
"1745",150
"1746",330
"1747",175
"1748",165
"1749",200
"1750",150
"1751",134
"1752",165
"1753",175
"1754",150
"1755",170
"1756",150
"1757",150
"1758",150
"1759",150
"1760",110
"1761",180
"1762",134
"1763",175
"1764",165
"1765",150
"1766",270
"1767",150
"1768",175
"1769",175
"1770",175
"1771",330
"1772",170
"1773",220
"1774",175
"1775",200
"1776",165
"1777",90
"1778",150
"1779",175
"1780",330
"1781",134
"1782",134
"1783",150
"1784",175
"1785",134
"1786",150
"1787",134
"1788",110
"1789",175
"1790",175
"1791",175
"1792",150
"1793",175
"1794",165
"1795",150
"1796",150
"1797",270
"1798",175
"1799",175
"1800",175
"1801",175
"1802",110
"1803",134
"1804",150
"1805",175
"1806",210
"1807",175
"1808",110
"1809",330
"1810",110
"1811",134
"1812",330
"1813",175
"1814",175
"1815",150
"1816",330
"1817",150
"1818",330
"1819",330
"1820",110
"1821",270
"1822",110
"1823",330
"1824",175
"1825",210
"1826",330
"1827",150
"1828",134
"1829",175
"1830",135
"1831",150
"1832",175
"1833",150
"1834",175
"1835",210
"1836",110
"1837",210
"1838",134
"1839",150
"1840",175
"1841",170
"1842",150
"1843",170
"1844",134
"1845",330
"1846",110
"1847",175
"1848",175
"1849",134
"1850",134
"1851",380
"1852",150
"1853",110
"1854",150
"1855",175
"1856",175
"1857",110
"1858",210
"1859",150
"1860",134
"1861",330
"1862",175
"1863",110
"1864",134
"1865",270
"1866",150
"1867",170
"1868",134
"1869",110
"1870",330
"1871",330
"1872",110
"1873",380
"1874",175
"1875",165
"1876",330
"1877",165
"1878",134
"1879",134
"1880",165
"1881",150
"1882",190
"1883",150
"1884",330
"1885",110
"1886",175
"1887",175
"1888",175
"1889",150
"1890",150
"1891",175
"1892",134
"1893",170
"1894",70
"1895",110
"1896",90
"1897",175
"1898",150
"1899",270
"1900",170
"1901",134
"1902",180
"1903",175
"1904",200
"1905",134
"1906",150
"1907",380
"1908",134
"1909",150
"1910",330
"1911",150
"1912",330
"1913",134
"1914",165
"1915",170
"1916",175
"1917",110
"1918",175
"1919",170
"1920",175
"1921",134
"1922",170
"1923",175
"1924",170
"1925",210
"1926",150
"1927",175
"1928",110
"1929",165
"1930",175
"1931",175
"1932",150
"1933",210
"1934",210
"1935",175
"1936",210
"1937",150
"1938",175
"1939",175
"1940",175
"1941",170
"1942",175
"1943",175
"1944",270
"1945",175
"1946",134
"1947",150
"1948",134
"1949",175
"1950",110
"1951",380
"1952",175
"1953",175
"1954",175
"1955",150
"1956",134
"1957",150
"1958",170
"1959",200
"1960",190
"1961",270
"1962",210
"1963",175
"1964",110
"1965",175
"1966",134
"1967",175
"1968",175
"1969",220
"1970",110
"1971",175
"1972",175
"1973",134
"1974",70
"1975",330
"1976",170
"1977",380
"1978",210
"1979",150
"1980",200
"1981",175
"1982",330
"1983",110
"1984",150
"1985",170
"1986",134
"1987",150
"1988",175
"1989",170
"1990",150
"1991",175
"1992",190
"1993",134
"1994",175
"1995",175
"1996",150
"1997",210
"1998",170
"1999",70
"2000",270
"2001",170
"2002",170
"2003",175
"2004",165
"2005",70
"2006",170
"2007",175
"2008",175
"2009",330
"2010",175
"2011",330
"2012",110
"2013",150
"2014",175
"2015",150
"2016",165
"2017",175
"2018",150
"2019",175
"2020",175
"2021",150
"2022",134
"2023",134
"2024",175
"2025",175
"2026",170
"2027",270
"2028",160
"2029",134
"2030",175
"2031",165
"2032",150
"2033",150
"2034",150
"2035",70
"2036",110
"2037",160
"2038",200
"2039",150
"2040",175
"2041",150
"2042",175
"2043",330
"2044",175
"2045",110
"2046",175
"2047",165
"2048",170
"2049",175
"2050",175
"2051",175
"2052",175
"2053",134
"2054",150
"2055",150
"2056",180
"2057",175
"2058",380
"2059",175
"2060",170
"2061",175
"2062",150
"2063",160
"2064",165
"2065",190
"2066",330
"2067",134
"2068",330
"2069",110
"2070",134
"2071",110
"2072",330
"2073",380
"2074",175
"2075",110
"2076",210
"2077",110
"2078",110
"2079",110
"2080",330
"2081",150
"2082",175
"2083",175
"2084",134
"2085",175
"2086",330
"2087",150
"2088",175
"2089",270
"2090",380
"2091",270
"2092",270
"2093",134
"2094",270
"2095",110
"2096",175
"2097",134
"2098",110
"2099",330
"2100",170
"2101",330
"2102",150
"2103",380
"2104",210
"2105",170
"2106",150
"2107",330
"2108",175
"2109",175
"2110",175
"2111",330
"2112",110
"2113",210
"2114",175
"2115",135
"2116",170
"2117",175
"2118",134
"2119",135
"2120",110
"2121",110
"2122",270
"2123",150
"2124",150
"2125",134
"2126",175
"2127",330
"2128",175
"2129",210
"2130",110
"2131",380
"2132",150
"2133",175
"2134",150
"2135",175
"2136",175
"2137",134
"2138",110
"2139",175
"2140",175
"2141",175
"2142",110
"2143",175
"2144",135
"2145",210
"2146",175
"2147",175
"2148",165
"2149",170
"2150",175
"2151",175
"2152",165
"2153",135
"2154",330
"2155",330
"2156",330
"2157",330
"2158",150
"2159",380
"2160",110
"2161",175
"2162",175
"2163",175
"2164",110
"2165",270
"2166",134
"2167",150
"2168",175
"2169",134
"2170",330
"2171",150
"2172",175
"2173",150
"2174",330
"2175",150
"2176",175
"2177",175
"2178",175
"2179",175
"2180",110
"2181",150
"2182",150
"2183",150
"2184",330
"2185",175
"2186",134
"2187",165
"2188",170
"2189",175
"2190",134
"2191",110
"2192",175
"2193",175
"2194",134
"2195",150
"2196",150
"2197",170
"2198",150
"2199",175
"2200",175
"2201",270
"2202",175
"2203",150
"2204",110
"2205",150
"2206",170
"2207",165
"2208",110
"2209",165
"2210",165
"2211",110
"2212",134
"2213",210
"2214",175
"2215",175
"2216",175
"2217",150
"2218",175
"2219",134
"2220",380
"2221",165
"2222",170
"2223",150
"2224",110
"2225",110
"2226",170
"2227",135
"2228",150
"2229",210
"2230",150
"2231",110
"2232",175
"2233",150
"2234",135
"2235",175
"2236",150
"2237",175
"2238",210
"2239",150
"2240",175
"2241",380
"2242",175
"2243",210
"2244",150
"2245",175
"2246",165
"2247",175
"2248",165
"2249",175
"2250",110
"2251",110
"2252",150
"2253",134
"2254",170
"2255",330
"2256",330
"2257",150
"2258",165
"2259",110
"2260",175
"2261",210
"2262",150
"2263",150
"2264",110
"2265",210
"2266",150
"2267",110
"2268",110
"2269",175
"2270",110
"2271",134
"2272",150
"2273",330
"2274",150
"2275",110
"2276",150
"2277",380
"2278",110
"2279",170
"2280",175
"2281",110
"2282",150
"2283",110
"2284",175
"2285",110
"2286",270
"2287",175
"2288",175
"2289",110
"2290",175
"2291",380
"2292",270
"2293",175
"2294",150
"2295",170
"2296",175
"2297",150
"2298",134
"2299",110
"2300",170
"2301",134
"2302",110
"2303",134
"2304",175
"2305",134
"2306",134
"2307",110
"2308",175
"2309",330
"2310",175
"2311",250
"2312",134
"2313",134
"2314",210
"2315",250
"2316",175
"2317",175
"2318",134
"2319",175
"2320",270
"2321",175
"2322",134
"2323",270
"2324",110
"2325",134
"2326",150
"2327",175
"2328",380
"2329",210
"2330",110
"2331",175
"2332",250
"2333",175
"2334",175
"2335",210
"2336",330
"2337",134
"2338",210
"2339",134
"2340",135
"2341",170
"2342",175
"2343",160
"2344",170
"2345",134
"2346",150
"2347",150
"2348",110
"2349",165
"2350",90
"2351",150
"2352",170
"2353",175
"2354",170
"2355",175
"2356",135
"2357",165
"2358",175
"2359",150
"2360",200
"2361",150
"2362",175
"2363",165
"2364",175
"2365",175
"2366",380
"2367",134
"2368",175
"2369",210
"2370",70
"2371",134
"2372",110
"2373",150
"2374",134
"2375",330
"2376",134
"2377",170
"2378",250
"2379",165
"2380",175
"2381",175
"2382",134
"2383",110
"2384",170
"2385",170
"2386",150
"2387",134
"2388",170
"2389",134
"2390",175
"2391",160
"2392",175
"2393",380
"2394",175
"2395",150
"2396",170
"2397",110
"2398",175
"2399",175
"2400",125
"2401",175
"2402",150
"2403",330
"2404",175
"2405",110
"2406",175
"2407",210
"2408",150
"2409",175
"2410",180
"2411",175
"2412",175
"2413",150
"2414",150
"2415",190
"2416",134
"2417",175
"2418",165
"2419",165
"2420",175
"2421",330
"2422",165
"2423",160
"2424",110
"2425",150
"2426",175
"2427",175
"2428",330
"2429",134
"2430",175
"2431",165
"2432",150
"2433",165
"2434",150
"2435",175
"2436",175
"2437",175
"2438",175
"2439",134
"2440",175
"2441",175
"2442",150
"2443",110
"2444",170
"2445",150
"2446",165
"2447",175
"2448",175
"2449",175
"2450",175
"2451",150
"2452",270
"2453",175
"2454",150
"2455",150
"2456",175
"2457",210
"2458",125
"2459",165
"2460",175
"2461",150
"2462",134
"2463",270
"2464",134
"2465",175
"2466",175
"2467",170
"2468",220
"2469",210
"2470",170
"2471",175
"2472",170
"2473",90
"2474",175
"2475",110
"2476",165
"2477",150
"2478",210
"2479",165
"2480",175
"2481",175
"2482",200
"2483",175
"2484",110
"2485",270
"2486",110
"2487",170
"2488",175
"2489",175
"2490",150
"2491",110
"2492",150
"2493",150
"2494",110
"2495",165
"2496",110
